,data
角色名,
等级,
种族,
职业,
兼职1,
兼职2,
阵营,
背景,
故乡,
信仰,
规则,
AC,
力量,
敏捷,
体质,
智力,
感知,
魅力,
力量调整,
敏捷调整,
体质调整,
智力调整,
感知调整,
魅力调整,
特色1,
特色2,
